New Angle (Rad),Radio Filtered,X coords,Y coords,New Angle (Deg)
0.6458200357501207,500.0,399.3032470524771,300.92676333843826,37.00276237346986
0.6363504414815908,499.0,401.33068563602336,296.5378235013527,36.46019458818182
0.6269573967799492,499.0,404.0983332788997,292.755080299583,35.92201277000004
0.6175643520783066,499.0,406.8303278753773,288.946507715205,35.3838309518182
0.608171307376664,499.0,409.52642838528783,285.11244177339876,34.84564913363636
0.5987782626750224,499.0,412.18639693534965,281.2532207485887,34.30746731545457
0.5893852179733798,499.0,414.8099988401555,277.36918513459676,33.76928549727273
0.579915318930278,498.0,416.5815089762836,272.88064493298634,33.22670024968802
0.5705222742286354,498.0,419.1262741712517,268.9556957926803,32.68851843150618
0.561206083868453,499.0,422.4603060799043,265.57162835452436,32.15474004272727
0.5521174268001765,503.0,428.2621774770565,263.8190807023066,31.633998351273284
0.5430981827340632,508.0,434.90473354332323,262.5297559165646,31.11723373188658
1.0727324962317328,524.0,250.32815807404575,460.33880270432945,61.46304458061178
1.0628852339223398,518.0,251.93090626512404,452.6089023300727,60.89883801052531
1.0530281522648044,512.0,253.41034547841247,444.8900951971303,60.334068833232706
1.0432195044330563,507.0,255.2446499995865,438.0629733800708,59.77207470974341
1.033403588463308,502.0,256.97278381137744,431.2412183224501,59.209664152621755
1.024038589909879,503.0,261.51994995732076,429.67000799953496,58.67308926036416
1.0145222992826413,502.0,265.06888573812023,426.31266203756064,58.127845970803534
1.0050816546923091,502.0,269.081680134882,423.7912804857942,57.58693687989448
0.9956410101019757,502.0,273.070492597752,421.2321284902436,57.04602778898537
0.9862003655116434,502.0,277.0349676233863,418.6354341356084,56.505118698076316
0.9767597209213101,502.0,280.9747518775195,416.0014288525537,55.964209607167206
0.9673190763309768,502.0,284.889494226453,413.330347397086,55.423300516258095
0.9578784317406445,502.0,288.7788457683503,410.62242782962954,54.88239142534904
0.9484377871503111,502.0,292.64245986433474,407.8779114938087,54.34148233443993
0.9390130091895414,502.0,296.47356460734323,405.10174708215646,53.80148233443991
0.9296040978583353,502.0,300.2719518362586,402.2943635454561,53.26239142534898
0.9201951865271301,502.0,304.04375690230074,399.45136611198944,52.72330051625811
0.9107103297671124,501.0,307.2055781317311,395.7596906769926,52.179858254622964
0.9013014184359063,501.0,310.9155930409195,392.8517455784222,51.64076734553203
0.8919684525335126,502.0,315.19635200219125,390.7112228801609,51.10602778898537
0.8824835957734949,501.0,318.2527236234142,386.93178198007814,50.56258552735023
0.8730746844422898,501.0,321.8791897628598,383.92028755668133,50.023494618259356
0.8636657731110835,501.0,325.4771609163594,380.8748058375957,49.484403709168426
0.8542568617798774,501.0,329.0463185664667,377.795606430058,48.945312800077495
0.8448479504486722,501.0,332.58634674650705,374.68296192622927,48.40622189098662
0.8348204809696667,493.0,330.9561990968012,365.39977323391776,47.83169021064336
0.8244296318096997,481.0,326.58736841776096,353.1312656647124,47.2363384082202
0.8150207204784936,481.0,329.8954442681934,350.0428485929848,46.69724749912927
0.8056118091472885,481.0,333.1743154780425,346.92344329223096,46.158156590038395
0.7962028978160823,481.0,336.4236917788106,343.77332591391644,45.619065680947465
0.7867939864848761,481.0,339.6432855130938,340.5927753283546,45.079974771856534
0.777385075153671,481.0,342.8328116600479,337.3820731000183,44.54088386276566
0.7679761638224648,481.0,345.9919878606223,334.1415034626124,44.00179295367473
0.7585672524912596,481.0,349.12053444255315,330.871353293914,43.46270204458386
0.7492406679077471,482.0,352.9234115694532,328.2819909257563,42.928328110676816
0.7412578125750828,500.0,368.80992348802715,337.6081165149256,42.47094419165165
0.7318489012438777,500.0,371.97007664230733,334.1231241364716,41.93185328256077
0.7224399899126714,500.0,375.09730041673527,330.6085528537903,41.39276237346984
0.7130152119519018,500.0,378.1965073347507,327.05871313847587,40.85276237346982
0.7035904339911321,500.0,381.2621206522145,323.4798221771742,40.3127623734698
0.6941656560303633,500.0,384.29386806362584,319.8721978676743,39.77276237346984
0.6847408780695935,500.0,387.2914802716503,316.2361606600262,39.23276237346982
0.6753161001088238,500.0,390.2546910110388,312.5720335280791,38.6927623734698
0.6658147725811678,499.0,392.4204668002248,308.23234294326363,38.14837640636364
0.656389994620398,499.0,395.3080166584282,304.52023244044045,37.60837640636362
0.6470417662265165,500.0,398.9352977409656,301.41437957789464,37.07276237346985
0.6375404386988596,499.0,400.9775223736973,297.01519582514806,36.528376406363634
0.6281156607380899,499.0,403.7589746324841,293.22293635342555,35.988376406363614
0.6186908827773211,499.0,406.50456268456895,289.40463112505194,35.44837640636365
0.6092661048165513,499.0,409.21404265094617,285.5606193039748,34.90837640636363
0.6000158597809819,499.0,411.83800319025914,281.7631259200893,34.37837640636366
0.5906228150793393,499.0,414.46640995585796,277.8823402418776,33.84019458818182
0.5811529160362374,498.0,416.243473738268,273.3959958929534,33.297609340597106
0.5717598713345948,498.0,418.79309448885294,269.4741991517011,32.759427522415265
0.5624436809744124,499.0,422.1313119552253,266.0942604923306,32.22564913363635
0.5532793778692316,502.0,427.1045377262964,263.79104202684107,31.700573243530854
0.5443357798400227,508.0,434.57949449997784,263.06779156739,31.188142822795662
0.5351635337394558,511.0,439.55465843727114,260.6006566493913,30.66261183257785
1.0745571586315446,524.0,249.48777891539405,460.79480050437144,61.567590035157195
1.0647968497918083,519.0,251.54991403471539,453.9643606596528,61.00836553189609
1.0549572949320727,513.0,253.0448828800388,446.2480109179507,60.444600566145795
1.045181808644141,508.0,254.8862909739571,439.4280130732897,59.88450645915929
1.0353990966774054,503.0,256.62191007342767,432.613216707795,59.323998351273225
